loan_id,customer_id,default_flag_12m,dpd_days,exposure,interest_rate,product,booking_date
700001,100001,0,0,18500.00,11.20,PL,2024-01-15
700002,100002,1,60,74200.50,17.85,BL,2023-11-04
700003,100003,0,5,22890.75,13.10,CC,2024-02-09
700004,100004,1,90,196000.00,15.75,LAP,2023-09-18
700005,100005,0,15,45820.40,12.35,PL,2024-01-28
700006,100006,0,0,17450.30,18.95,CC,2024-03-03
700007,100007,0,30,52910.00,14.60,BL,2023-12-22
700008,100008,1,60,118400.25,16.40,PL,2023-10-30
700009,100009,0,0,83500.80,10.95,LAP,2024-02-15
700010,100010,0,5,26700.10,12.80,CC,2024-03-20
